Date,Close/Last,Volume,Open,High,Low
07/21/2021,$2550.98,1037309,$2522.67,$2551.92,$2520.47
07/20/2021,$2524.19,1315822,$2510.55,$2540.8636,$2487.01
07/19/2021,$2491.56,1398379,$2521.79,$2524.1,$2470.1
07/16/2021,$2539.4,1021227,$2553.26,$2556.23,$2523.07
07/15/2021,$2540.1,1210940,$2572.98,$2574,$2530.6
07/14/2021,$2564.74,1187283,$2559.16,$2586.5266,$2558.2892
07/13/2021,$2546.83,962347,$2540.77,$2561.15,$2533.49
07/12/2021,$2539.51,883389,$2523.56,$2541.3888,$2512.215
07/09/2021,$2510.37,931584,$2500.5,$2514.69,$2491.025
07/08/2021,$2500.88,1189467,$2480.52,$2511.91,$2480.44
07/07/2021,$2529.48,1202951,$2543.24,$2545.68,$2523.06
07/06/2021,$2523.8,1320179,$2512.97,$2528.56,$2491.6501
07/02/2021,$2505.15,1300109,$2463,$2508.08,$2461.19
07/01/2021,$2448.89,905641,$2434.5,$2451.74,$2430.63
06/30/2021,$2441.79,1223699,$2439.89,$2445.14,$2427.09
06/29/2021,$2445.45,1155436,$2453.407,$2460.415,$2433.815
06/28/2021,$2450.72,1426271,$2453.57,$2455.695,$2428.1101
06/25/2021,$2450.17,1729819,$2440,$2452.66,$2431.305
06/24/2021,$2450,1068257,$2454,$2461.1107,$2446
06/23/2021,$2442.54,957708,$2441.87,$2461.91,$2436.69
06/22/2021,$2446.61,1119510,$2435,$2448,$2421.28
06/21/2021,$2436.25,1370683,$2410.01,$2440,$2397.97
06/18/2021,$2402.22,2305760,$2427.34,$2432.06,$2400.3
06/17/2021,$2434.87,1292444,$2413.95,$2450.45,$2410
06/16/2021,$2415.45,1323593,$2431.44,$2437.72,$2389.4
06/15/2021,$2428.39,1078107,$2449,$2455.51,$2421.12
06/14/2021,$2448.91,1104878,$2432.26,$2448.92,$2418
06/11/2021,$2430.2,1097907,$2440,$2441.72,$2418.96
06/10/2021,$2435.13,1295375,$2406.92,$2436,$2403.78
06/09/2021,$2407.94,897052,$2411.43,$2412.88,$2396.9
06/08/2021,$2398.44,1211992,$2412.01,$2419.5202,$2394.78
06/07/2021,$2402.3,1205966,$2389.436,$2404.5099,$2381
06/04/2021,$2393.57,1222910,$2369.27,$2399.03,$2362.41
06/03/2021,$2347.58,934796,$2345.73,$2357.015,$2329.52
06/02/2021,$2370.59,1058146,$2389.15,$2393.64,$2352.355
06/01/2021,$2381.18,1167901,$2374.44,$2385.71,$2354.28
05/28/2021,$2356.85,1074540,$2374.42,$2376.07,$2352.85
05/27/2021,$2362.68,1761201,$2389.05,$2389.05,$2356.26
05/26/2021,$2380.31,1078598,$2366.52,$2388.99,$2366.4625
05/25/2021,$2362.87,1121982,$2372,$2384,$2355
05/24/2021,$2361.04,1591610,$2314.89,$2365.55,$2311.955
05/21/2021,$2294.13,2031590,$2317.41,$2318.89,$2289.3
